Subject,Movement,Segment1,Segment2,TotalAngleAvgError,TotalEulerAvgError,MeanSquaredError,Standard Deviation
P1,11,Pelvis,RightUpperLeg,14.946422214046358,[11175.16195956 25570.64507783 20416.93058668],0.6089475676307248,0.7803509259498093
P1,11,Pelvis,LeftUpperLeg,16.65783834822358,[14300.78751807 29422.95965609 18364.27093414],1.9477948250628123,1.3956342017386978
P1,11,RightUpperLeg,RightLowerLeg,33.36816940559918,[20273.46955098  3846.56077229 74061.92396222],6.582701372902288,2.5656775660441604
P1,11,LeftUpperLeg,LeftLowerLeg,26.208369099721235,[18323.29638351 15094.64864777 54329.2118604 ],9.036129839489668,3.0060156086570258
P1,11,RightLowerLeg,RightFoot,10.511842795394898,[11989.85862776  7318.46813713 19245.52960424],4.129949216007334,2.0322276486671798
P1,11,LeftLowerLeg,LeftFoot,16.73272650671168,[10421.20419628  8761.0479997  36392.16942327],13.767497755283959,3.710457890245348
P1,12,Head,T8,8.120642131097311,[10302.3679866   5020.67171137  5004.3349284 ],1.765767003142692,1.3288216596453761
P1,12,RightUpperArm,T8,11.692821769509546,[ 6017.27702203  5553.15269749 15884.33804294],21.010153674353205,4.583683417771477
P1,12,RightUpperArm,RightForeArm,25.612328557641142,[15872.30146414 36643.60192067 10148.01618861],29.072385344800626,5.391881429037607
P1,12,LeftUpperArm,T8,24.55627705954037,[ 7349.52510438  5111.51099832 38288.0028895 ],80.53664368552806,8.97422106288496
P1,12,LeftUpperArm,LeftForeArm,39.33486923458755,[49040.7723139  34118.91157757 30527.10645194],239.87814285389126,15.487999963000105
P1,12,RightForeArm,RightHand,27.681477980705846,[17253.75709069 38004.74738081  9245.21312707],22.678995388221256,4.762246884425592
P1,12,LeftForeArm,LeftHand,50.82322879212095,[12917.16209294 79741.78827438 12709.05407916],89.33567115330631,9.451754924526254
P1,12,T8,Pelvis,24.98452297291597,[ 6528.11961807 29459.24553377 28063.89327883],2.951396933822464,1.717963018758688
P1,12,Pelvis,RightUpperLeg,17.40020269003544,[ 8088.34154543 21132.01259545 17802.40537472],0.2030319882752237,0.45059071037386433
P1,12,Pelvis,LeftUpperLeg,15.680799835527415,[ 9570.16981259 23305.94265506  2310.75089792],0.23450763531135663,0.4842598840616024
P1,12,RightUpperLeg,RightLowerLeg,42.86907789858711,[14064.95291907  5562.59796598 67433.88863153],0.31358824375718036,0.5599895032562489
P1,12,LeftUpperLeg,LeftLowerLeg,18.1622533022403,[ 9372.8534882   2789.15096677 27592.43948325],0.7642283388673441,0.8742015436198589
P1,12,RightLowerLeg,RightFoot,21.142099440043957,[10507.184059    3427.09473421 32238.33270892],0.2835139169402974,0.5324602491644774
P1,12,LeftLowerLeg,LeftFoot,3.2854614459598683,[4307.37270749 1964.10498851 2057.1067473 ],0.0558675162275344,0.2363631025086919
P1,13,Head,T8,14.181293720871958,[ 9926.55221995  7893.21345886 23097.94118357],3.5577952320000046,1.8862118735709423
P1,13,RightUpperArm,T8,10.570403017073332,[ 4834.42569513  5886.10371246 18007.72215639],11.81781305066297,3.437704619460923
P1,13,RightUpperArm,RightForeArm,39.00716641451741,[ 9903.53629397 73581.32590114 17402.81910277],12.974498917105961,3.6020131755875022
P1,13,LeftUpperArm,T8,15.270529326320823,[ 8184.06844462  6100.69942913 27002.68733574],11.06946879291914,3.3270811220827095
P1,13,LeftUpperArm,LeftForeArm,21.159925298773928,[ 5053.68840032 38387.96296666 13889.35842896],8.965449966233185,2.9942361239944297
P1,13,RightForeArm,RightHand,37.345143908984845,[ 5379.57978013 71893.98166462  4535.13664419],14.284505630828972,3.7794848366978497
P1,13,LeftForeArm,LeftHand,21.325788407983424,[ 1361.53236818 40926.24424511  4570.1202052 ],9.076745583783513,3.0127637782912076
P1,13,T8,Pelvis,25.14212381128321,[ 6076.58055568 27407.656856   39758.88216112],11.078586555807,3.328451074570122
P1,13,Pelvis,RightUpperLeg,15.188012946925856,[10179.2380444  22417.82032996 16918.12974755],0.314189872836619,0.5605264247442925
P1,13,Pelvis,LeftUpperLeg,15.241573954821357,[13065.56739534 26455.1904259   1509.08843953],0.3672445765329664,0.6060070763060167
P1,13,RightUpperLeg,RightLowerLeg,42.80247680886446,[16122.76955701  7296.9663944  80403.68872557],1.5673604979634965,1.251942689568295
P1,13,LeftUpperLeg,LeftLowerLeg,17.025726010817376,[18353.86710389 10733.30544472 24258.22012134],1.1072783846174528,1.0522729610787558
P1,13,RightLowerLeg,RightFoot,18.799477501683995,[12219.32722647  1992.72675845 34082.5758416 ],2.476670637874343,1.5737441462557828
P1,13,LeftLowerLeg,LeftFoot,10.339308143336625,[11081.04322965 10455.70741228 12248.54821105],0.9107253329758466,0.9543193034701994
P1,14,Head,T8,5.795951799291593,[6808.90818799 1054.98817129 5204.60317705],0.3735873234632812,0.6112179017856735
P1,14,RightUpperArm,T8,7.4267358718211005,[4183.11880005 6681.03853858 5775.17228694],11.761754301751964,3.4295414127477692
P1,14,RightUpperArm,RightForeArm,31.57622225173121,[20052.19416446 40234.52631851 11296.9624883 ],342.59041436323366,18.509198101571922
P1,14,LeftUpperArm,T8,14.130924692018809,[ 8387.82837466  3609.86587671 18723.92926053],126.74808574873694,11.258245233993481
P1,14,LeftUpperArm,LeftForeArm,36.29370383475117,[32287.52613552 44322.48603841 22976.14718101],596.3027883436719,24.419311790950864
P1,14,RightForeArm,RightHand,32.77433921213862,[11235.42982831 44553.70131038  8888.69771041],411.2977374952951,20.280476757100537
P1,14,LeftForeArm,LeftHand,35.387817394932455,[ 9316.452251   52044.76982066 10368.55628066],467.84377037676825,21.629696492941555
P1,14,T8,Pelvis,21.231051638871758,[ 1352.71557603 23739.69657233 21934.54247951],0.6755755079781982,0.8219340046367459
P1,14,Pelvis,RightUpperLeg,15.145368670361268,[ 9229.7011969  18447.51179067 11143.57199026],0.021125758066405376,0.14534702634180507
P1,14,Pelvis,LeftUpperLeg,15.11033457255373,[ 8728.90627114 21187.52162024  1948.34422788],0.0364282174073617,0.19086177565809687
P1,14,RightUpperLeg,RightLowerLeg,40.21299243743871,[13054.93099516  5674.74013103 58917.64439024],0.08043027073657692,0.2836023108801776
P1,14,LeftUpperLeg,LeftLowerLeg,14.06439384027886,[14363.22796211  6309.59120051 13909.81887236],0.6410421795043276,0.8006510972354485
P1,14,RightLowerLeg,RightFoot,16.351442990433256,[ 9672.74396493  2011.48850771 22631.38577004],0.25894929385319093,0.5088706061988557
P1,14,LeftLowerLeg,LeftFoot,13.077897478934013,[ 9257.90262744  8275.3718066  15002.4320924 ],0.42716250447300974,0.6535767012929774
P1,15,Head,T8,16.23311040147061,[ 2422.61230075  8157.54511792 20269.28959211],12.854803105254646,3.585359550345634
P1,15,RightUpperArm,T8,14.971569255888916,[ 6069.93022197 14912.35765435 10246.05654366],42.38142129492792,6.510101481154339
P1,15,RightUpperArm,RightForeArm,40.29607005393114,[17444.46434316 51033.44665485 12668.99608237],118.4795174057376,10.884829691168235
P1,15,LeftUpperArm,T8,17.010130816411866,[10062.69852995 18994.45216774  3604.13421253],28.012634762949187,5.2926963603582236
P1,15,LeftUpperArm,LeftForeArm,57.55684305158069,[56218.27572073 63556.44268855 44769.30699049],618.0788560032433,24.861191765545822
P1,15,RightForeArm,RightHand,43.4979703091778,[23642.35767127 52598.8430028  18761.65074327],157.6096826222392,12.55426949775411
P1,15,LeftForeArm,LeftHand,60.440229344596034,[20919.40264548 80211.86459706 19284.61570762],649.5459954397165,25.48619225070149
P1,15,T8,Pelvis,32.85930923464086,[ 1142.48915936 29117.56177419 34375.4021945 ],17.824954617677488,4.221960991965402
P1,15,Pelvis,RightUpperLeg,16.268450070617824,[12585.49248307 14255.41327262 12597.34973662],0.2103795578327359,0.4586715140846834
P1,15,Pelvis,LeftUpperLeg,17.333559866189972,[10030.8245086  21117.31957085  2930.61669152],0.25640758635310024,0.5063670470647752
P1,15,RightUpperLeg,RightLowerLeg,44.48976200789417,[14464.81354803  9671.54137092 57551.64074461],10.847083106450885,3.2934910211583825
P1,15,LeftUpperLeg,LeftLowerLeg,14.018765664055143,[11909.23193841  6388.6224487  13117.32302259],1.6070672333379488,1.267701555311008
P1,15,RightLowerLeg,RightFoot,19.293553584314047,[ 8197.54584629  2606.54950033 24836.05516591],9.844156854272162,3.1375399366816294
P1,15,LeftLowerLeg,LeftFoot,8.653751522999686,[5678.22528759 6125.44121839 8059.52662362],0.34777486449406286,0.5897243970653265
P1,16,Head,T8,8.32577229187932,[8544.4072236  4521.24313322 8585.8586705 ],0.1800950020047542,0.4243760148792038
P1,16,RightUpperArm,T8,5.019257080535336,[3850.25427209 3884.12029477 4593.91446643],2.3693762843015937,1.5392778450629352
P1,16,RightUpperArm,RightForeArm,29.08162201587507,[13140.17489701 42438.12203189  4325.22986088],168.56453600987794,12.983240581991767
P1,16,LeftUpperArm,T8,12.239357982048661,[ 2647.45512777  3011.35226949 18306.36416314],47.32500233928564,6.879316996569183
P1,16,LeftUpperArm,LeftForeArm,36.71652008346448,[36425.02625143 37294.76901888 32358.11492125],371.40419891916173,19.27184990910737
P1,16,RightForeArm,RightHand,35.45664246017584,[23520.4229649  46351.77905066 20247.93621735],144.74493757018888,12.03099902627329
P1,16,LeftForeArm,LeftHand,43.88275420477787,[24962.76868875 65265.48638486 31381.55700068],796.9802221859323,28.230838141754354
P1,16,T8,Pelvis,23.933135209036596,[ 3548.07479731 26963.25427846 26753.6881861 ],0.633879991166572,0.7961658063284129
P1,16,Pelvis,RightUpperLeg,15.789790534940815,[14297.50965329 15230.74544321 14814.52062362],0.06147251070043003,0.2479365053807729
P1,16,Pelvis,LeftUpperLeg,16.545344803254686,[11191.27942014 23373.58298515  1787.7267801 ],0.20606527212207326,0.4539441288551635
P1,16,RightUpperLeg,RightLowerLeg,44.21794944448919,[17078.15040254 11020.28420071 65762.8274231 ],0.5421681447057598,0.7363206806180034
P1,16,LeftUpperLeg,LeftLowerLeg,15.262583768062443,[15068.84643429 10259.00185639 14884.23913263],0.3220818658440286,0.5675225685768176
P1,16,RightLowerLeg,RightFoot,19.27107451755633,[10464.70501277  2683.85917629 28239.81365553],1.180116903547919,1.0863318570068352
P1,16,LeftLowerLeg,LeftFoot,10.229737742403833,[8029.65887    9671.00726025 9626.11999837],0.4031187515777071,0.6349163343131968
P1,17,Head,T8,24.895359805281917,[21670.77327786 38146.03824193 75621.69895493],31.029758336644026,5.570436099323286
P1,17,RightUpperArm,T8,21.677190710246524,[64430.30811673 39816.1548393  36439.99830515],214.44668655191748,14.643998311660566
P1,17,RightUpperArm,RightForeArm,30.667567816295335,[ 28476.47949732 109166.29802661  32110.54818021],255.6890987996489,15.990281385880891
P1,17,LeftUpperArm,T8,22.3946869975485,[30955.73974093 68096.23339222 42375.85245602],160.2794525635763,12.660152154045239
